eTime;eTimeStart;T1;T2;C1;C2;Depth;DO;LSS;EH;rho1;rho2
10-Aug-2015 16:30:02;10-Aug-2015 16:30:01;0.000185;0.000011;18.050200;16.471600;1.539000;0.000000;-1.759000;998.601800;998.879400;0.000000
10-Aug-2015 16:30:03;10-Aug-2015 16:30:01;0.000186;0.000014;18.045900;16.453100;1.524000;0.000000;-1.759100;998.602500;998.883000;0.000000
10-Aug-2015 16:30:04;10-Aug-2015 16:30:01;0.000199;0.000010;18.042300;16.462700;1.501000;0.000000;-1.759300;998.603100;998.881000;0.000000
10-Aug-2015 16:30:05;10-Aug-2015 16:30:01;0.000201;0.000012;18.040200;16.471600;1.492000;0.000000;-1.759300;998.603500;998.880000;0.000000
10-Aug-2015 16:30:06;10-Aug-2015 16:30:01;0.000196;0.000010;18.038600;16.474500;1.487000;0.000000;-1.759400;998.603700;998.879200;0.000000
10-Aug-2015 16:30:07;10-Aug-2015 16:30:01;0.000197;0.000011;18.037500;16.471500;1.494000;0.000000;-1.759400;998.604000;998.879200;0.000000
10-Aug-2015 16:30:08;10-Aug-2015 16:30:01;0.000196;0.000012;18.037000;16.481400;1.505000;0.000000;-1.759400;998.604100;998.878400;0.000000
10-Aug-2015 16:30:09;10-Aug-2015 16:30:01;0.000190;0.000010;18.036900;16.538400;1.514000;0.000000;-1.759400;998.604200;998.868400;0.000000
10-Aug-2015 16:30:10;10-Aug-2015 16:30:01;0.000190;0.000011;18.037000;16.648600;1.516000;0.000000;-1.759400;998.604200;998.850300;0.000000
10-Aug-2015 16:30:11;10-Aug-2015 16:30:01;0.000188;0.000013;18.037400;16.618700;1.508000;0.000000;-1.759400;998.604000;998.855000;0.000000
10-Aug-2015 16:30:12;10-Aug-2015 16:30:01;0.000185;0.000013;18.037800;16.594000;1.511000;0.000000;-1.759400;998.604000;998.858900;0.000000
10-Aug-2015 16:30:13;10-Aug-2015 16:30:01;0.000185;0.000010;18.037700;16.548700;1.514000;0.000000;-1.759400;998.604000;998.866600;0.000000
10-Aug-2015 16:30:14;10-Aug-2015 16:30:01;0.000190;0.000011;18.036800;16.485300;1.515000;0.000000;-1.759400;998.604200;998.877800;0.000000
10-Aug-2015 16:30:15;10-Aug-2015 16:30:01;0.000191;0.000013;18.035500;16.502000;1.509000;0.000000;-1.759500;998.604400;998.874700;0.000000
10-Aug-2015 16:30:16;10-Aug-2015 16:30:01;0.000198;0.000010;18.034000;16.422100;1.507000;0.000000;-1.759500;998.604700;998.887800;0.000000
10-Aug-2015 16:30:17;10-Aug-2015 16:30:01;0.000200;0.000010;18.033000;16.400600;1.507000;0.000000;-1.759600;998.604900;998.891400;0.000000
10-Aug-2015 16:30:18;10-Aug-2015 16:30:01;0.000200;0.000014;18.032100;16.549800;1.499000;0.000000;-1.759600;998.605000;998.866900;0.000000
10-Aug-2015 16:30:19;10-Aug-2015 16:30:01;0.000199;0.000012;18.031600;16.613100;1.483000;0.000000;-1.759600;998.605000;998.855600;0.000000
10-Aug-2015 16:30:20;10-Aug-2015 16:30:01;0.000193;0.000015;18.031800;16.620000;1.489000;0.000000;-1.759600;998.605000;998.854700;0.000000
10-Aug-2015 16:30:21;10-Aug-2015 16:30:01;0.000189;0.000013;18.032700;16.621400;1.508000;0.000000;-1.759600;998.604900;998.854600;0.000000
10-Aug-2015 16:30:22;10-Aug-2015 16:30:01;0.000184;0.000012;18.034300;16.514200;1.523000;0.000000;-1.759500;998.604700;998.872400;0.000000
